body_system	ltc
Neurological Disease	Trigeminal neuralgia
Respiratory Disease	Allergic and chronic rhinitis
Respiratory Disease	Asbestosis
Respiratory Disease	Asthma
Respiratory Disease	Bronchiectasis
Respiratory Disease	Chronic sinusitis
Respiratory Disease	COPD
Respiratory Disease	Cystic Fibrosis
Respiratory Disease	Hypertrophy of nasal turbinates
Respiratory Disease	Nasal polyp
Respiratory Disease	Other interstitial pulmonary diseases with fibrosis
Respiratory Disease	Respiratory failure
Skin Disease	Alopecia areata and scarring alopecia
Skin Disease	Blistering autoimmune skin conditions
Skin Disease	Chronic ulcer of the skin
Skin Disease	Dermatitis (atopc/contact/other/unspecified)
Skin Disease	Hidradenitis suppurativa
Skin Disease	Lichen planus
Skin Disease	Psoriasis
Skin Disease	Rosacea
Skin Disease	Seborrheic dermatitis
Skin Disease	Urticaria
Skin Disease	Vitiligo
Metabolic and Endocrine	Adrenal insufficiency and Addison's disease
Metabolic and Endocrine	Disorders of autonomic nervous system
Metabolic and Endocrine	Hyperparathyroidism
Metabolic and Endocrine	Hyperprolactinaemia and prolactinoma
Metabolic and Endocrine	Hypopituitarism
Metabolic and Endocrine	Obesity
Metabolic and Endocrine	Thyroid disease
Metabolic and Endocrine	Type 1 Diabetes
Metabolic and Endocrine	Type 2 Diabetes
Metabolic and Endocrine	Unspecified or Rare Diabetes
Infectious Disease	Chronic viral hepatitis
Infectious Disease	HIV
Infectious Disease	Infection of bones and joints
Infectious Disease	Tuberculosis
Mental and Behavioural Disorder	ADHD and hyperkinetic disorders
Mental and Behavioural Disorder	Alcohol dependence and related disease
Mental and Behavioural Disorder	Anxiety and phobia
Mental and Behavioural Disorder	Autism and Asperger's syndrome
Mental and Behavioural Disorder	Bipolar affective disorder and mania
Mental and Behavioural Disorder	Dementia
Mental and Behavioural Disorder	Depression
Mental and Behavioural Disorder	Eating disorders
Mental and Behavioural Disorder	Learning disability
Mental and Behavioural Disorder	Obsessive-compulsive disorder
Mental and Behavioural Disorder	Other psychoactive substance misuse
Mental and Behavioural Disorder	Personality disorder
Mental and Behavioural Disorder	Post-traumatic stress and stress-related disorders
Mental and Behavioural Disorder	Schizophrenia and non-organic psychosis
Mental and Behavioural Disorder	Somatoform and dissociative disorders
Cancer	Hodgkin Lymphoma
Cancer	Leukaemia
Cancer	Multiple myeloma and malignant plasma cell neoplasms
Cancer	Non-Hodgkin Lymphoma
Cancer	Non-malignant tumour of brain, central nervous system and pituitary
Cancer	Primary malignancy biliary tract
Cancer	Primary malignancy bladder
Cancer	Primary malignancy bone and articular cartilage
Cancer	Primary malignancy brain, other CNS and intracranial
Cancer	Primary malignancy breast
Cancer	Primary malignancy cervical
Cancer	Primary malignancy colorectal and anus
Cancer	Primary malignancy kidney and ureter
Cancer	Primary malignancy liver
Cancer	Primary malignancy lung and trachea
Cancer	Primary malignancy malignant melanoma
Cancer	Primary malignancy mesothelioma
Cancer	Primary malignancy oesophageal
Cancer	Primary malignancy ovarian
Cancer	Primary malignancy pancreatic
Cancer	Primary malignancy prostate
Cancer	Primary malignancy stomach
Cancer	Primary malignancy testicular
Cancer	Primary malignancy thyroid
Cancer	Primary malignancy uterine
Cancer	Primary Malignancy_Oro-pharyngeal
Cancer	Primary Malignancy_Other
Cancer	Primary Malignancy_Other Skin and subcutaneous tissue
Cancer	Secondary malignancy and metastasis
